epoca,loss,accuracy,recall,precision,lr 
1,0.6929100155830383,0.5119,0.4822,0.51321,0.0002000000
2,0.6927400231361389,0.51348,0.59716,0.51452,0.0002000000
3,0.685509979724884,0.52101,0.62213,0.51899,0.0002000000
4,0.6706900000572205,0.53751,0.57962,0.53598,0.0002000000
5,0.659089982509613,0.55543,0.59357,0.55263,0.0002000000
6,0.6468200087547302,0.56995,0.61016,0.56628,0.0002000000
7,0.6410199999809265,0.58036,0.61862,0.57584,0.0002000000
8,0.6193199753761292,0.5906,0.62758,0.58516,0.0002000000
9,0.5764999985694885,0.60306,0.63828,0.59676,0.0002000000
10,0.5539900064468384,0.61582,0.65127,0.60854,0.0002000000
11,0.5362399816513062,0.62745,0.66488,0.61926,0.0002000000
12,0.5231099724769592,0.63792,0.67607,0.62874,0.0002000000
13,0.5089600086212158,0.64737,0.68739,0.63718,0.0002000000
14,0.5063599944114685,0.6555,0.69909,0.64349,0.0002000000
15,0.4959999918937683,0.66271,0.7091,0.64934,0.0002000000
16,0.477620005607605,0.66979,0.7174,0.65554,0.0002000000
17,0.46807000041007996,0.67673,0.72501,0.66169,0.0002000000
18,0.4679099917411804,0.68307,0.73218,0.66744,0.0002000000
19,0.4676800072193146,0.68869,0.73816,0.67237,0.0002000000
20,0.4541800022125244,0.69382,0.74297,0.67704,0.0002000000
21,0.4424299895763397,0.6989,0.7477,0.68174,0.0002000000
22,0.4375999867916107,0.7038,0.75318,0.68595,0.0002000000
23,0.44297999143600464,0.70813,0.75702,0.69005,0.0002000000
24,0.42451000213623047,0.71215,0.75957,0.69416,0.0002000000
25,0.4261400103569031,0.71614,0.76336,0.69788,0.0002000000
26,0.4200200140476227,0.71991,0.7669,0.70144,0.0002000000
27,0.42028000950813293,0.72346,0.77029,0.70466,0.0002000000
28,0.40786999464035034,0.72684,0.77329,0.70792,0.0002000000
29,0.4051100015640259,0.73013,0.77632,0.711,0.0002000000
30,0.39122000336647034,0.7334,0.77997,0.71378,0.0002000000
31,0.39375999569892883,0.73655,0.78307,0.71665,0.0002000000
32,0.3965199887752533,0.7394,0.78551,0.71935,0.0002000000
33,0.38798999786376953,0.74211,0.78789,0.72189,0.0002000000
34,0.38850000500679016,0.74471,0.79029,0.72434,0.0002000000
35,0.37762001156806946,0.74729,0.79266,0.72677,0.0002000000
36,0.3746199905872345,0.74987,0.79501,0.72921,0.0002000000
37,0.3756900131702423,0.75228,0.7973,0.73149,0.0002000000
38,0.3706200122833252,0.75457,0.79984,0.73346,0.0002000000
39,0.3658199906349182,0.75683,0.80215,0.73558,0.0002000000
40,0.3640899956226349,0.75901,0.80431,0.73757,0.0002000000
41,0.363290011882782,0.76111,0.80645,0.73948,0.0002000000
42,0.35936999320983887,0.76312,0.80837,0.74135,0.0002000000
43,0.3631399869918823,0.76501,0.8097,0.74333,0.0002000000
44,0.3446100056171417,0.76695,0.81101,0.74537,0.0002000000
45,0.34623000025749207,0.76891,0.81231,0.74749,0.0002000000
46,0.3397600054740906,0.77083,0.81352,0.74958,0.0002000000
47,0.34411001205444336,0.77267,0.81518,0.75138,0.0002000000
48,0.33917999267578125,0.77444,0.81682,0.75309,0.0002000000
49,0.33594998717308044,0.77616,0.81803,0.75493,0.0002000000
50,0.33122000098228455,0.77783,0.81938,0.75657,0.0002000000
51,0.32339999079704285,0.77953,0.82096,0.75816,0.0002000000
52,0.3231000006198883,0.78121,0.8225,0.75979,0.0002000000
53,0.3206000030040741,0.78284,0.82403,0.76138,0.0002000000
54,0.32864999771118164,0.78437,0.82537,0.76287,0.0002000000
55,0.31439000368118286,0.78585,0.82657,0.76441,0.0002000000
56,0.3147999942302704,0.78738,0.82783,0.76596,0.0002000000
57,0.3089999854564667,0.78886,0.82922,0.76736,0.0002000000
58,0.31922999024391174,0.79028,0.83059,0.76873,0.0002000000
59,0.3064500093460083,0.79164,0.83171,0.77011,0.0002000000
60,0.3031800091266632,0.79304,0.83273,0.7716,0.0002000000
61,0.30873000621795654,0.79438,0.83371,0.77302,0.0002000000
62,0.30877000093460083,0.79564,0.83461,0.77434,0.0002000000
63,0.304610013961792,0.79687,0.83555,0.77563,0.0002000000
64,0.30289000272750854,0.79809,0.83651,0.77693,0.0002000000
65,0.3062500059604645,0.79928,0.83752,0.77817,0.0002000000
66,0.2992100119590759,0.80043,0.83867,0.77922,0.0002000000
67,0.296860009431839,0.80157,0.83972,0.78033,0.0002000000
68,0.2910900115966797,0.80272,0.84057,0.78157,0.0002000000
69,0.28984999656677246,0.80386,0.84148,0.78278,0.0002000000
70,0.2886199951171875,0.80498,0.84233,0.78396,0.0002000000
71,0.2851099967956543,0.80608,0.84325,0.7851,0.0002000000
72,0.29045000672340393,0.80715,0.84421,0.78614,0.0002000000
73,0.2874400019645691,0.80818,0.84502,0.7872,0.0002000000
74,0.2865400016307831,0.80918,0.84571,0.78829,0.0002000000
75,0.27911001443862915,0.81018,0.84637,0.78937,0.0002000000
76,0.2781499922275543,0.8112,0.84712,0.79046,0.0002000000
77,0.27950000762939453,0.81219,0.84787,0.79152,0.0002000000
78,0.2853600084781647,0.81314,0.8487,0.79247,0.0002000000
79,0.27316001057624817,0.81408,0.84969,0.79332,0.0002000000
80,0.2887600064277649,0.81497,0.85055,0.79417,0.0002000000
81,0.28176000714302063,0.8158,0.85131,0.79498,0.0002000000
82,0.2769399881362915,0.81666,0.85218,0.79572,0.0002000000
83,0.272489994764328,0.81753,0.85306,0.79652,0.0002000000
84,0.26861000061035156,0.81841,0.85371,0.79744,0.0002000000
85,0.2665199935436249,0.81928,0.8543,0.79841,0.0002000000
86,0.27724000811576843,0.8201,0.85485,0.79935,0.0002000000
87,0.2644500136375427,0.82091,0.85543,0.80023,0.0002000000
88,0.2667100131511688,0.82172,0.85604,0.80111,0.0002000000
89,0.2643299996852875,0.82253,0.85673,0.80194,0.0002000000
90,0.2628999948501587,0.82332,0.85748,0.80271,0.0002000000
91,0.2737399935722351,0.82408,0.85822,0.80342,0.0002000000
92,0.2592099905014038,0.82481,0.85896,0.80408,0.0002000000
93,0.26805999875068665,0.82556,0.85961,0.80482,0.0002000000
94,0.25505000352859497,0.82629,0.86029,0.80551,0.0002000000
