epoca,loss,accuracy,recall,precision,lr 
1,0.6930199861526489,0.51209,0.48237,0.51605,0.0002000000
2,0.6926400065422058,0.51311,0.67261,0.51144,0.0002000000
3,0.685230016708374,0.52729,0.5793,0.52608,0.0002000000
4,0.6699900031089783,0.54624,0.58087,0.54435,0.0002000000
5,0.6576700210571289,0.56345,0.60468,0.55988,0.0002000000
6,0.6462200284004211,0.57552,0.61448,0.5714,0.0002000000
7,0.641510009765625,0.58469,0.62238,0.57958,0.0002000000
8,0.619979977607727,0.59612,0.63227,0.5902,0.0002000000
9,0.5812100172042847,0.60964,0.64397,0.60295,0.0002000000
10,0.5597100257873535,0.62174,0.65839,0.61387,0.0002000000
11,0.5420500040054321,0.63287,0.67097,0.62416,0.0002000000
12,0.5343700051307678,0.64281,0.68101,0.6334,0.0002000000
13,0.5230900049209595,0.65168,0.6935,0.64051,0.0002000000
14,0.5210000276565552,0.65913,0.70449,0.64645,0.0002000000
15,0.507390022277832,0.66619,0.71352,0.65229,0.0002000000
16,0.4972899854183197,0.67333,0.72117,0.65871,0.0002000000
17,0.487419992685318,0.68002,0.72881,0.6647,0.0002000000
18,0.49028000235557556,0.68607,0.73552,0.67008,0.0002000000
19,0.48607000708580017,0.69126,0.74073,0.67465,0.0002000000
20,0.47530001401901245,0.69635,0.74515,0.67936,0.0002000000
21,0.46296998858451843,0.70141,0.75019,0.68403,0.0002000000
22,0.460750013589859,0.70616,0.75615,0.68789,0.0002000000
23,0.4706299901008606,0.71009,0.75779,0.69226,0.0002000000
24,0.452129989862442,0.71423,0.76143,0.69617,0.0002000000
25,0.45135998725891113,0.71808,0.76536,0.69965,0.0002000000
26,0.4487299919128418,0.72174,0.76841,0.70316,0.0002000000
27,0.4439300000667572,0.72518,0.77216,0.70615,0.0002000000
28,0.43672001361846924,0.72852,0.7744,0.70968,0.0002000000
29,0.429500013589859,0.73176,0.77832,0.71231,0.0002000000
30,0.4203299880027771,0.73505,0.78162,0.71528,0.0002000000
31,0.42326998710632324,0.73805,0.78452,0.718,0.0002000000
32,0.4265500009059906,0.74078,0.78654,0.72072,0.0002000000
33,0.4204300045967102,0.74347,0.78932,0.72314,0.0002000000
34,0.41628000140190125,0.74598,0.79129,0.72561,0.0002000000
35,0.4094099998474121,0.74864,0.79407,0.72795,0.0002000000
36,0.4107699990272522,0.75113,0.79597,0.7305,0.0002000000
37,0.4087899923324585,0.75344,0.79867,0.73244,0.0002000000
38,0.40255001187324524,0.75573,0.80105,0.73453,0.0002000000
39,0.4035399854183197,0.75795,0.80329,0.73663,0.0002000000
40,0.40066999197006226,0.7601,0.80536,0.73862,0.0002000000
41,0.39976999163627625,0.76215,0.80757,0.74042,0.0002000000
42,0.39201000332832336,0.76412,0.80918,0.74237,0.0002000000
43,0.39250001311302185,0.76595,0.81027,0.74432,0.0002000000
44,0.37985000014305115,0.76798,0.8118,0.74641,0.0002000000
45,0.3839699923992157,0.76989,0.81285,0.74859,0.0002000000
46,0.37643998861312866,0.77179,0.81423,0.75058,0.0002000000
47,0.379720002412796,0.77358,0.81618,0.75218,0.0002000000
48,0.3741599917411804,0.77533,0.81747,0.75403,0.0002000000
49,0.3734300136566162,0.777,0.81861,0.75581,0.0002000000
50,0.367139995098114,0.77869,0.82021,0.75737,0.0002000000
51,0.357699990272522,0.78039,0.82173,0.759,0.0002000000
52,0.3607900142669678,0.78206,0.82331,0.76062,0.0002000000
53,0.3579399883747101,0.78366,0.82478,0.76216,0.0002000000
54,0.36423999071121216,0.7851,0.82599,0.76362,0.0002000000
55,0.356469988822937,0.78664,0.82719,0.76524,0.0002000000
56,0.3490400016307831,0.78813,0.82851,0.7667,0.0002000000
57,0.34718000888824463,0.78962,0.82997,0.76808,0.0002000000
58,0.35826998949050903,0.79096,0.83123,0.7694,0.0002000000
59,0.3470799922943115,0.79235,0.83221,0.77086,0.0002000000
60,0.34139999747276306,0.79375,0.83328,0.77234,0.0002000000
61,0.3484500050544739,0.79503,0.83416,0.77368,0.0002000000
62,0.34439000487327576,0.79626,0.83509,0.775,0.0002000000
63,0.3440299928188324,0.79749,0.83604,0.7763,0.0002000000
64,0.3388800024986267,0.79872,0.83701,0.77758,0.0002000000
65,0.34494999051094055,0.79988,0.83805,0.77876,0.0002000000
66,0.3381600081920624,0.80102,0.83932,0.77974,0.0002000000
67,0.33671998977661133,0.80215,0.84014,0.78097,0.0002000000
68,0.3279699981212616,0.80331,0.84104,0.78218,0.0002000000
69,0.32923001050949097,0.80444,0.84192,0.78338,0.0002000000
70,0.3285900056362152,0.80554,0.84276,0.78455,0.0002000000
71,0.3235499858856201,0.80664,0.84377,0.78563,0.0002000000
72,0.3300800025463104,0.80767,0.84467,0.78668,0.0002000000
73,0.3259499967098236,0.8087,0.84538,0.78774,0.0002000000
74,0.3278000056743622,0.80969,0.84606,0.78883,0.0002000000
75,0.324290007352829,0.81071,0.84672,0.78995,0.0002000000
76,0.32155999541282654,0.81171,0.84755,0.79099,0.0002000000
77,0.32315999269485474,0.81269,0.84819,0.79206,0.0002000000
78,0.32166001200675964,0.81361,0.84922,0.79288,0.0002000000
79,0.31338998675346375,0.81458,0.85018,0.79379,0.0002000000
80,0.33254000544548035,0.81539,0.85094,0.79458,0.0002000000
81,0.3238399922847748,0.81624,0.85169,0.79539,0.0002000000
82,0.31367000937461853,0.81711,0.85271,0.7961,0.0002000000
83,0.3134399950504303,0.81798,0.85344,0.79699,0.0002000000
84,0.3173600137233734,0.81886,0.85402,0.79792,0.0002000000
85,0.30831998586654663,0.81973,0.8546,0.7989,0.0002000000
86,0.31668001413345337,0.8205,0.85512,0.79979,0.0002000000
87,0.30689001083374023,0.82133,0.85577,0.80069,0.0002000000
88,0.3099899888038635,0.82213,0.85634,0.80156,0.0002000000
89,0.309469997882843,0.82294,0.85715,0.80233,0.0002000000
90,0.304720014333725,0.82373,0.85784,0.80313,0.0002000000
91,0.31011998653411865,0.82444,0.85861,0.80373,0.0002000000
92,0.3028999865055084,0.82521,0.85933,0.80447,0.0002000000
93,0.3114199936389923,0.82593,0.85992,0.80519,0.0002000000
94,0.2987099885940552,0.82668,0.86069,0.80585,0.0002000000
95,0.30480000376701355,0.82736,0.86131,0.80652,0.0002000000
96,0.304500013589859,0.82807,0.86188,0.80726,0.0002000000
97,0.30577999353408813,0.8288,0.86229,0.80812,0.0002000000
98,0.3090200126171112,0.82947,0.86273,0.80887,0.0002000000
99,0.29864001274108887,0.83013,0.86339,0.80948,0.0002000000
100,0.3077099919319153,0.83078,0.86379,0.81022,0.0002000000
101,0.2982400059700012,0.83146,0.86433,0.81095,0.0002000000
102,0.29752999544143677,0.83212,0.86492,0.81161,0.0002000000
103,0.2976599931716919,0.83275,0.86528,0.81236,0.0002000000
104,0.3043000102043152,0.83337,0.86564,0.8131,0.0002000000
105,0.29221001267433167,0.83399,0.86628,0.81366,0.0002000000
106,0.2959200143814087,0.83462,0.86668,0.8144,0.0002000000
107,0.29635000228881836,0.83525,0.86714,0.81507,0.0002000000
108,0.2940399944782257,0.83584,0.86754,0.81574,0.0002000000
109,0.29297998547554016,0.83645,0.86805,0.81637,0.0002000000
110,0.2917500138282776,0.83706,0.86852,0.81702,0.0002000000
111,0.28723999857902527,0.83764,0.86909,0.81755,0.0002000000
112,0.2903900146484375,0.83822,0.8696,0.81812,0.0002000000
113,0.28905001282691956,0.83879,0.86996,0.81878,0.0002000000
114,0.2923699915409088,0.83937,0.87029,0.81947,0.0002000000
115,0.28968000411987305,0.83992,0.87068,0.82007,0.0002000000
116,0.2932499945163727,0.84044,0.87105,0.82065,0.0002000000
117,0.2885400056838989,0.84099,0.87136,0.82129,0.0002000000
118,0.28518998622894287,0.84151,0.87173,0.82188,0.0002000000
119,0.28290998935699463,0.84206,0.87216,0.82246,0.0002000000
120,0.28769999742507935,0.84259,0.87257,0.82302,0.0002000000
121,0.28617000579833984,0.84309,0.87302,0.82353,0.0002000000
122,0.2815000116825104,0.8436,0.87347,0.82407,0.0002000000
123,0.28213998675346375,0.84412,0.87394,0.82457,0.0002000000
124,0.2854900062084198,0.84462,0.87419,0.82519,0.0002000000
125,0.28303998708724976,0.84512,0.87464,0.82569,0.0002000000
126,0.2821600139141083,0.84563,0.87501,0.82624,0.0002000000
127,0.278219997882843,0.84614,0.87543,0.82679,0.0002000000
128,0.2855199873447418,0.84661,0.87588,0.82724,0.0002000000
129,0.2872200012207031,0.84706,0.87618,0.82774,0.0002000000
130,0.283270001411438,0.84753,0.87663,0.82818,0.0002000000
131,0.2843799889087677,0.84797,0.87703,0.82862,0.0002000000
132,0.2794399857521057,0.84843,0.87742,0.82909,0.0002000000
133,0.27869001030921936,0.8489,0.87776,0.8296,0.0002000000
134,0.27570000290870667,0.84935,0.87812,0.83006,0.0002000000
135,0.28255999088287354,0.84981,0.8784,0.83057,0.0002000000
136,0.27584001421928406,0.85027,0.87879,0.83102,0.0002000000
137,0.2716900110244751,0.85075,0.8792,0.83146,0.0002000000
138,0.28154000639915466,0.85118,0.87948,0.83192,0.0002000000
139,0.27684998512268066,0.85166,0.87983,0.83238,0.0002000000
140,0.27296000719070435,0.85211,0.88023,0.8328,0.0002000000
141,0.2739500105381012,0.85257,0.8806,0.83325,0.0002000000
142,0.27344998717308044,0.85301,0.88098,0.83366,0.0002000000
143,0.2691799998283386,0.85345,0.88139,0.83404,0.0002000000
144,0.27402999997138977,0.85387,0.88181,0.8344,0.0002000000
145,0.27105000615119934,0.85429,0.88215,0.83477,0.0002000000
146,0.2703799903392792,0.85472,0.8825,0.83518,0.0002000000
147,0.26965999603271484,0.85514,0.88287,0.83557,0.0002000000
148,0.27480998635292053,0.85554,0.88324,0.83592,0.0002000000
149,0.27928000688552856,0.85591,0.88363,0.83621,0.0002000000
150,0.27118000388145447,0.85632,0.88395,0.83661,0.0002000000
151,0.26996999979019165,0.85674,0.88429,0.83701,0.0002000000
152,0.280349999666214,0.8571,0.88454,0.83736,0.0002000000
153,0.2719799876213074,0.8575,0.88481,0.83779,0.0002000000
154,0.2642599940299988,0.8579,0.88512,0.83816,0.0001000000
155,0.2614000141620636,0.85829,0.88548,0.83851,0.0001000000
156,0.2619599997997284,0.85869,0.88577,0.83893,0.0001000000
157,0.2623800039291382,0.85911,0.88606,0.83936,0.0001000000
158,0.2621600031852722,0.85952,0.88635,0.83979,0.0001000000
159,0.26069000363349915,0.85992,0.88662,0.84021,0.0001000000
160,0.2635200023651123,0.8603,0.88698,0.84053,0.0001000000
161,0.25734999775886536,0.86069,0.88734,0.84089,0.0001000000
162,0.2606300115585327,0.86107,0.88767,0.84126,0.0001000000
163,0.26475000381469727,0.86146,0.88785,0.8417,0.0001000000
164,0.26096001267433167,0.86185,0.88808,0.84212,0.0001000000
165,0.257099986076355,0.86223,0.88835,0.84251,0.0001000000
166,0.25659000873565674,0.86259,0.88868,0.84282,0.0001000000
167,0.2596200108528137,0.86297,0.88895,0.8432,0.0001000000
168,0.25558000802993774,0.86334,0.88932,0.84352,0.0001000000
169,0.2563599944114685,0.86371,0.88959,0.8439,0.0001000000
170,0.2562499940395355,0.86408,0.88984,0.84429,0.0001000000
171,0.25870999693870544,0.86444,0.89007,0.84468,0.0001000000
172,0.25701001286506653,0.8648,0.89037,0.84502,0.0001000000
173,0.2557600140571594,0.86516,0.89064,0.84539,0.0001000000
174,0.25442999601364136,0.8655,0.8909,0.84573,0.0001000000
175,0.25349000096321106,0.86585,0.89117,0.84607,0.0001000000
176,0.25457999110221863,0.8662,0.89143,0.84641,0.0001000000
177,0.25835999846458435,0.86653,0.89167,0.84674,0.0001000000
178,0.2576099932193756,0.86685,0.89193,0.84707,0.0001000000
179,0.2543399930000305,0.86717,0.89223,0.84734,0.0001000000
180,0.25793999433517456,0.86749,0.89249,0.84765,0.0001000000
181,0.2551400065422058,0.86782,0.89278,0.84796,0.0001000000
182,0.25710999965667725,0.86813,0.89311,0.84821,0.0001000000
183,0.2514599859714508,0.86845,0.8934,0.84852,0.0001000000
184,0.25060999393463135,0.86876,0.89369,0.84879,0.0001000000
185,0.25450000166893005,0.86908,0.89398,0.84906,0.0001000000
186,0.2549799978733063,0.8694,0.89419,0.8494,0.0001000000
187,0.25262999534606934,0.8697,0.89444,0.84968,0.0001000000
188,0.25259000062942505,0.87001,0.8947,0.84996,0.0001000000
189,0.2553200125694275,0.87031,0.89494,0.85025,0.0001000000
190,0.25433000922203064,0.87062,0.89513,0.85059,0.0001000000
191,0.2550399899482727,0.87092,0.8953,0.85092,0.0001000000
192,0.25150999426841736,0.87122,0.89555,0.85119,0.0001000000
193,0.25185999274253845,0.87151,0.89581,0.85146,0.0001000000
194,0.25800999999046326,0.87179,0.896,0.85176,0.0001000000
195,0.2517699897289276,0.87208,0.89618,0.85207,0.0000500000
196,0.25189000368118286,0.87237,0.89636,0.85239,0.0000500000
197,0.2478100061416626,0.87266,0.8966,0.85265,0.0000500000
198,0.24944999814033508,0.87294,0.89679,0.85296,0.0000500000
199,0.24482999742031097,0.87323,0.89703,0.85322,0.0000500000
200,0.2477799952030182,0.87352,0.89725,0.85351,0.0000500000
201,0.24706999957561493,0.8738,0.89745,0.85379,0.0000500000
202,0.24613000452518463,0.87409,0.89768,0.85407,0.0000500000
203,0.24718999862670898,0.87436,0.89787,0.85435,0.0000500000
204,0.2494799941778183,0.87463,0.89803,0.85464,0.0000500000
205,0.24744999408721924,0.87491,0.89822,0.85493,0.0000500000
206,0.2466599941253662,0.87518,0.89842,0.85522,0.0000500000
207,0.24538999795913696,0.87546,0.89863,0.8555,0.0000500000
208,0.247639998793602,0.87572,0.89882,0.85576,0.0000500000
209,0.24560999870300293,0.87598,0.89904,0.856,0.0000500000
210,0.2465600073337555,0.87623,0.89921,0.85627,0.0000250000
211,0.2430099993944168,0.87649,0.89941,0.85651,0.0000250000
212,0.24491000175476074,0.87674,0.89959,0.85678,0.0000250000
213,0.24363000690937042,0.87698,0.89977,0.85703,0.0000250000
214,0.2416200041770935,0.87723,0.89996,0.85728,0.0000250000
215,0.24206000566482544,0.87748,0.90015,0.85753,0.0000250000
216,0.2440900057554245,0.87773,0.90031,0.8578,0.0000250000
217,0.2410299926996231,0.87797,0.90053,0.85803,0.0000250000
218,0.24208000302314758,0.87821,0.90072,0.85827,0.0000250000
219,0.24188999831676483,0.87845,0.9009,0.85851,0.0000250000
220,0.24424999952316284,0.87869,0.90107,0.85875,0.0000250000
221,0.24387000501155853,0.87892,0.90124,0.859,0.0000250000
222,0.24174000322818756,0.87915,0.90143,0.85922,0.0000250000
223,0.24221999943256378,0.87938,0.90159,0.85945,0.0000250000
224,0.2453099936246872,0.8796,0.90171,0.8597,0.0000250000
225,0.24416999518871307,0.87983,0.90186,0.85993,0.0000250000
